이름,서울페이업종코드,주소,상세주소,위도,경도,변환상태
꿀소담,음식점/식음료업,"서울특별시 도봉구 노해로63나길 12 101호 (창동,유림빌딩)",꿀소담 카페,37.65407526,127.0443844,성공
365힐링의원,보건/복지,"서울특별시 강동구 천호대로 1087 (천호동, 진넥스빌Ⅲ)			",201호 365힐링의원,37.53616396,127.1326879,성공
서울형 키즈카페 관악구 난향동점,생활/리빙,"서울특별시 관악구 난곡로9길 29-2 (신림동, 냔향경로당)",3층,37.46398929,126.9181473,성공
태능감자탕 노원본점,음식점/식음료업,"서울특별시 노원구 노해로83길 10-1 (상계동, 대화빌딩)",101호,37.65590923,127.0644578,성공
내사랑닭발,음식점/식음료업,서울특별시 강동구 양재대로91길 16 (성내동),,37.52798875,127.1352952,성공
이엠씨EMC리드앤톡영어수학학원,입시/교습학원,"서울특별시 강동구 양재대로 1360 (둔촌동, 포레온스테이션5)			",,37.52747586,127.1370461,성공
별난낙지집  창바리한상,음식점/식음료업,서울특별시 강남구 테헤란로37길 23 (역삼동),2층,37.50372219,127.0402527,성공
좋은계란 사당역점,식자재/유통,"서울특별시 동작구 동작대로7길 55 (사당동, 지암빌딩)			",,37.47838533,126.9793439,성공
시작스터디카페 종암점,생활/리빙,"서울특별시 성북구 종암로 110 (종암동, 종암대평빌딩)			",,37.60009545,127.0343381,성공
성동oil#,기타,서울특별시 중랑구 사가정로41길 64 (면목동),,37.58409523,127.0842829,성공
요아정 당고개점 ,음식점/식음료업,"서울특별시 노원구 덕릉로 753 (상계동, 노원롯데캐슬시그니처)			",,37.66585159,127.0763205,성공
플레이팩토 불광교육원,입시/교습학원,서울특별시 은평구 불광로 44-2 (불광동),,37.61110962,126.9306252,성공
서울수산,식자재/유통,서울특별시 동대문구 왕산로 162 (용두동),,37.5787214,127.0413467,성공
미미당,음식점/식음료업,서울특별시 마포구 망원로6길 21 (망원동),1층 3호(망원동),37.55594839,126.9035602,성공
지에스25 금천탑골점,식자재/유통,서울특별시 금천구 금하로29길 15 (시흥동),1층,37.45078269,126.9124666,성공
리온음악교습소,예술교육,"서울특별시 중랑구 사가정로42길 71 (면목동, gak빌딩)			",,37.57824554,127.0822298,성공
던안경원방배본점,의류/잡화,"서울특별시 서초구 방배로 28 (방배동, 덕산빌딩)			",,37.47754667,127.0006227,성공
프랭크버거 노원역점,음식점/식음료업,"서울특별시 노원구 상계로 97 (상계동, 노원위너스빌딩)			",,37.65706164,127.0656659,성공
이즈필라테스앤발레,문화/체육,서울특별시 서초구 서래로8길 1 (반포동),4층,37.49874576,126.9985718,성공
이경준국어교습소,입시/교습학원,서울특별시 동작구 동작대로 163 (사당동),,37.49112499,126.9822872,성공
메이퓨어 고덕점 ,보건/복지,"서울특별시 강동구 동남로73길 26 (명일동, 고덕복합빌딩)			",,37.55329884,127.1547829,성공
